Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000         | 65           | 96           | Array        | 0,035100 ms          | 0,036400 ms          | 0,276200 ms          | 0,239800 ms         Lineært søk 1,04 ganger raskere. Med sortering: Lineært søk 7,87 ganger raskere.
1000         | 65           | 96           | List         | 0,047500 ms          | 0,071400 ms          | 0,533200 ms          | 0,461800 ms         Lineært søk 1,50 ganger raskere. Med sortering: Lineært søk 11,23 ganger raskere.
1000         | 65           | ------       | LinkedList   | 0,326500 ms          | ------               | ------               | ------               
1000         | 410          | 648          | Array        | 0,000600 ms          | 0,000100 ms          | 0,101100 ms          | 0,101000 ms         Binært søk 6,00 ganger raskere. Med sortering: Lineært søk 168,50 ganger raskere.
1000         | 410          | 648          | List         | 0,001300 ms          | 0,000200 ms          | 0,234700 ms          | 0,234500 ms         Binært søk 6,50 ganger raskere. Med sortering: Lineært søk 180,54 ganger raskere.
1000         | 410          | ------       | LinkedList   | 0,002000 ms          | ------               | ------               | ------               
1000         | 508          | 252          | Array        | 0,000700 ms          | 0,000100 ms          | 0,100900 ms          | 0,100800 ms         Binært søk 7,00 ganger raskere. Med sortering: Lineært søk 144,14 ganger raskere.
1000         | 508          | 252          | List         | 0,001400 ms          | 0,000200 ms          | 0,232400 ms          | 0,232200 ms         Binært søk 7,00 ganger raskere. Med sortering: Lineært søk 166,00 ganger raskere.
1000         | 508          | ------       | LinkedList   | 0,002500 ms          | ------               | ------               | ------               
1000         | Nonexistent  | Nonexistent  | Array        | 0,001300 ms          | 0,000100 ms          | 0,106300 ms          | 0,106200 ms         Binært søk 13,00 ganger raskere. Med sortering: Lineært søk 81,77 ganger raskere.
1000         | Nonexistent  | Nonexistent  | List         | 0,002500 ms          | 0,000100 ms          | 0,273700 ms          | 0,273600 ms         Binært søk 25,00 ganger raskere. Med sortering: Lineært søk 109,48 ganger raskere.
1000         | Nonexistent  | ------       | LinkedList   | 0,033900 ms          | ------               | ------               | ------               
1000         | Nonexistent  | Nonexistent  | Array        | 0,001600 ms          | 0,000100 ms          | 0,163600 ms          | 0,163500 ms         Binært søk 16,00 ganger raskere. Med sortering: Lineært søk 102,25 ganger raskere.
1000         | Nonexistent  | Nonexistent  | List         | 0,002600 ms          | 0,000200 ms          | 0,236200 ms          | 0,236000 ms         Binært søk 13,00 ganger raskere. Med sortering: Lineært søk 90,85 ganger raskere.
1000         | Nonexistent  | ------       | LinkedList   | 0,004200 ms          | ------               | ------               | ------               
1000         | Nonexistent  | Nonexistent  | Array        | 0,001300 ms          | 0,000100 ms          | 0,115100 ms          | 0,115000 ms         Binært søk 13,00 ganger raskere. Med sortering: Lineært søk 88,54 ganger raskere.
1000         | Nonexistent  | Nonexistent  | List         | 0,002500 ms          | 0,000100 ms          | 0,277100 ms          | 0,277000 ms         Binært søk 25,00 ganger raskere. Med sortering: Lineært søk 110,84 ganger raskere.
1000         | Nonexistent  | ------       | LinkedList   | 0,004300 ms          | ------               | ------               | ------               
10000        | 5025         | 1806         | Array        | 0,006800 ms          | 0,000200 ms          | 1,272200 ms          | 1,272000 ms         Binært søk 34,00 ganger raskere. Med sortering: Lineært søk 187,09 ganger raskere.
10000        | 5025         | 1806         | List         | 0,012500 ms          | 0,000400 ms          | 2,791100 ms          | 2,790700 ms         Binært søk 31,25 ganger raskere. Med sortering: Lineært søk 223,29 ganger raskere.
10000        | 5025         | ------       | LinkedList   | 0,020500 ms          | ------               | ------               | ------               
10000        | 2723         | 8792         | Array        | 0,003500 ms          | 0,000100 ms          | 1,418300 ms          | 1,418200 ms         Binært søk 35,00 ganger raskere. Med sortering: Lineært søk 405,23 ganger raskere.
10000        | 2723         | 8792         | List         | 0,006700 ms          | 0,000200 ms          | 2,726900 ms          | 2,726700 ms         Binært søk 33,50 ganger raskere. Med sortering: Lineært søk 407,00 ganger raskere.
10000        | 2723         | ------       | LinkedList   | 0,011400 ms          | ------               | ------               | ------               
10000        | 8733         | 8289         | Array        | 0,010600 ms          | 0,000100 ms          | 1,799900 ms          | 1,799800 ms         Binært søk 106,00 ganger raskere. Med sortering: Lineært søk 169,80 ganger raskere.
10000        | 8733         | 8289         | List         | 0,021400 ms          | 0,000200 ms          | 1,858600 ms          | 1,858400 ms         Binært søk 107,00 ganger raskere. Med sortering: Lineært søk 86,85 ganger raskere.
10000        | 8733         | ------       | LinkedList   | 0,044000 ms          | ------               | ------               | ------               
10000        | Nonexistent  | Nonexistent  | Array        | 0,015200 ms          | 0,000100 ms          | 1,214600 ms          | 1,214500 ms         Binært søk 152,00 ganger raskere. Med sortering: Lineært søk 79,91 ganger raskere.
10000        | Nonexistent  | Nonexistent  | List         | 0,033900 ms          | 0,000200 ms          | 1,941300 ms          | 1,941100 ms         Binært søk 169,50 ganger raskere. Med sortering: Lineært søk 57,27 ganger raskere.
10000        | Nonexistent  | ------       | LinkedList   | 0,059200 ms          | ------               | ------               | ------               
10000        | Nonexistent  | Nonexistent  | Array        | 0,018000 ms          | 0,000200 ms          | 1,138900 ms          | 1,138700 ms         Binært søk 90,00 ganger raskere. Med sortering: Lineært søk 63,27 ganger raskere.
10000        | Nonexistent  | Nonexistent  | List         | 0,024500 ms          | 0,000200 ms          | 2,331400 ms          | 2,331200 ms         Binært søk 122,50 ganger raskere. Med sortering: Lineært søk 95,16 ganger raskere.
10000        | Nonexistent  | ------       | LinkedList   | 0,050000 ms          | ------               | ------               | ------               
10000        | Nonexistent  | Nonexistent  | Array        | 0,012400 ms          | 0,000200 ms          | 1,042500 ms          | 1,042300 ms         Binært søk 62,00 ganger raskere. Med sortering: Lineært søk 84,07 ganger raskere.
10000        | Nonexistent  | Nonexistent  | List         | 0,030300 ms          | 0,000200 ms          | 2,141900 ms          | 2,141700 ms         Binært søk 151,50 ganger raskere. Med sortering: Lineært søk 70,69 ganger raskere.
10000        | Nonexistent  | ------       | LinkedList   | 0,041200 ms          | ------               | ------               | ------               
100000       | 86184        | 19679        | Array        | 0,104600 ms          | 0,000200 ms          | 16,448800 ms         | 16,448600 ms        Binært søk 523,00 ganger raskere. Med sortering: Lineært søk 157,25 ganger raskere.
100000       | 86184        | 19679        | List         | 0,210200 ms          | 0,000400 ms          | 29,698000 ms         | 29,697600 ms        Binært søk 525,50 ganger raskere. Med sortering: Lineært søk 141,28 ganger raskere.
100000       | 86184        | ------       | LinkedList   | 0,345300 ms          | ------               | ------               | ------               
100000       | 13625        | 97385        | Array        | 0,016600 ms          | 0,000100 ms          | 16,172500 ms         | 16,172400 ms        Binært søk 166,00 ganger raskere. Med sortering: Lineært søk 974,25 ganger raskere.
100000       | 13625        | 97385        | List         | 0,042000 ms          | 0,000300 ms          | 31,879700 ms         | 31,879400 ms        Binært søk 140,00 ganger raskere. Med sortering: Lineært søk 759,04 ganger raskere.
100000       | 13625        | ------       | LinkedList   | 0,094800 ms          | ------               | ------               | ------               
100000       | 2302         | 54106        | Array        | 0,004400 ms          | 0,000300 ms          | 17,324500 ms         | 17,324200 ms        Binært søk 14,67 ganger raskere. Med sortering: Lineært søk 3937,39 ganger raskere.
100000       | 2302         | 54106        | List         | 0,007600 ms          | 0,000700 ms          | 30,279700 ms         | 30,279000 ms        Binært søk 10,86 ganger raskere. Med sortering: Lineært søk 3984,17 ganger raskere.
100000       | 2302         | ------       | LinkedList   | 0,012500 ms          | ------               | ------               | ------               
100000       | Nonexistent  | Nonexistent  | Array        | 0,124700 ms          | 0,000200 ms          | 15,689100 ms         | 15,688900 ms        Binært søk 623,50 ganger raskere. Med sortering: Lineært søk 125,81 ganger raskere.
100000       | Nonexistent  | Nonexistent  | List         | 0,451300 ms          | 0,000300 ms          | 35,594100 ms         | 35,593800 ms        Binært søk 1504,33 ganger raskere. Med sortering: Lineært søk 78,87 ganger raskere.
100000       | Nonexistent  | ------       | LinkedList   | 0,514500 ms          | ------               | ------               | ------               
100000       | Nonexistent  | Nonexistent  | Array        | 0,127100 ms          | 0,000200 ms          | 12,400600 ms         | 12,400400 ms        Binært søk 635,50 ganger raskere. Med sortering: Lineært søk 97,57 ganger raskere.
100000       | Nonexistent  | Nonexistent  | List         | 0,270200 ms          | 0,000200 ms          | 28,065800 ms         | 28,065600 ms        Binært søk 1351,00 ganger raskere. Med sortering: Lineært søk 103,87 ganger raskere.
100000       | Nonexistent  | ------       | LinkedList   | 0,322700 ms          | ------               | ------               | ------               
100000       | Nonexistent  | Nonexistent  | Array        | 0,150600 ms          | 0,000200 ms          | 19,130200 ms         | 19,130000 ms        Binært søk 753,00 ganger raskere. Med sortering: Lineært søk 127,03 ganger raskere.
100000       | Nonexistent  | Nonexistent  | List         | 0,250300 ms          | 0,000200 ms          | 28,888100 ms         | 28,887900 ms        Binært søk 1251,50 ganger raskere. Med sortering: Lineært søk 115,41 ganger raskere.
100000       | Nonexistent  | ------       | LinkedList   | 0,519900 ms          | ------               | ------               | ------               
1000000      | 348738       | 17362        | Array        | 0,735600 ms          | 0,000900 ms          | 169,787400 ms        | 169,786500 ms       Binært søk 817,33 ganger raskere. Med sortering: Lineært søk 230,81 ganger raskere.
1000000      | 348738       | 17362        | List         | 0,851300 ms          | 0,001100 ms          | 300,025200 ms        | 300,024100 ms       Binært søk 773,91 ganger raskere. Med sortering: Lineært søk 352,43 ganger raskere.
1000000      | 348738       | ------       | LinkedList   | 0,934000 ms          | ------               | ------               | ------               
1000000      | 831326       | 938817       | Array        | 1,051900 ms          | 0,006200 ms          | 193,487300 ms        | 193,481100 ms       Binært søk 169,66 ganger raskere. Med sortering: Lineært søk 183,94 ganger raskere.
1000000      | 831326       | 938817       | List         | 2,032500 ms          | 0,000400 ms          | 280,933000 ms        | 280,932600 ms       Binært søk 5081,25 ganger raskere. Med sortering: Lineært søk 138,22 ganger raskere.
1000000      | 831326       | ------       | LinkedList   | 2,286000 ms          | ------               | ------               | ------               
1000000      | 404486       | 132483       | Array        | 0,492000 ms          | 0,001000 ms          | 186,240700 ms        | 186,239700 ms       Binært søk 492,00 ganger raskere. Med sortering: Lineært søk 378,54 ganger raskere.
1000000      | 404486       | 132483       | List         | 0,977300 ms          | 0,001100 ms          | 288,906500 ms        | 288,905400 ms       Binært søk 888,45 ganger raskere. Med sortering: Lineært søk 295,62 ganger raskere.
1000000      | 404486       | ------       | LinkedList   | 1,780500 ms          | ------               | ------               | ------               
