Array length | Linear index | Binary index | Datatype     | Linear Milliseconds  | Binary Milliseconds  | Binary Ms /w sort    | Sort Milliseconds    
1000         | 65           | ------       | LinkedList   | 0,326500 ms          | ------               | ------               | ------               
1000         | 410          | ------       | LinkedList   | 0,002000 ms          | ------               | ------               | ------               
1000         | 508          | ------       | LinkedList   | 0,002500 ms          | ------               | ------               | ------               
1000         | Nonexistent  | ------       | LinkedList   | 0,033900 ms          | ------               | ------               | ------               
1000         | Nonexistent  | ------       | LinkedList   | 0,004200 ms          | ------               | ------               | ------               
1000         | Nonexistent  | ------       | LinkedList   | 0,004300 ms          | ------               | ------               | ------               
10000        | 5025         | ------       | LinkedList   | 0,020500 ms          | ------               | ------               | ------               
10000        | 2723         | ------       | LinkedList   | 0,011400 ms          | ------               | ------               | ------               
10000        | 8733         | ------       | LinkedList   | 0,044000 ms          | ------               | ------               | ------               
10000        | Nonexistent  | ------       | LinkedList   | 0,059200 ms          | ------               | ------               | ------               
10000        | Nonexistent  | ------       | LinkedList   | 0,050000 ms          | ------               | ------               | ------               
10000        | Nonexistent  | ------       | LinkedList   | 0,041200 ms          | ------               | ------               | ------               
100000       | 86184        | ------       | LinkedList   | 0,345300 ms          | ------               | ------               | ------               
100000       | 13625        | ------       | LinkedList   | 0,094800 ms          | ------               | ------               | ------               
100000       | 2302         | ------       | LinkedList   | 0,012500 ms          | ------               | ------               | ------               
100000       | Nonexistent  | ------       | LinkedList   | 0,514500 ms          | ------               | ------               | ------               
100000       | Nonexistent  | ------       | LinkedList   | 0,322700 ms          | ------               | ------               | ------               
100000       | Nonexistent  | ------       | LinkedList   | 0,519900 ms          | ------               | ------               | ------               
1000000      | 348738       | ------       | LinkedList   | 0,934000 ms          | ------               | ------               | ------               
1000000      | 831326       | ------       | LinkedList   | 2,286000 ms          | ------               | ------               | ------               
1000000      | 404486       | ------       | LinkedList   | 1,780500 ms          | ------               | ------               | ------               
1000000      | Nonexistent  | ------       | LinkedList   | 2,670300 ms          | ------               | ------               | ------               
1000000      | Nonexistent  | ------       | LinkedList   | 3,226000 ms          | ------               | ------               | ------               
1000000      | Nonexistent  | ------       | LinkedList   | 2,697500 ms          | ------               | ------               | ------               
10000000     | 9688026      | ------       | LinkedList   | 26,151000 ms         | ------               | ------               | ------               
10000000     | 1551384      | ------       | LinkedList   | 4,178700 ms          | ------               | ------               | ------               
